,OPR Job Code,OPR Job Title,OPR Job Rating,OPR Field Code,OPR Field Title,OPR Field Rating,ONET SOC 2018 Code,ONET SOC 2018 Title,ONET SOC 2010 Code,ONET SOC 2010 Title,Census Code 1980,Census Title 1980,GSS Ratings 1989,Census Code 2010,Census Titles 2010,GSS Ratings 2012,Prestige_Score
40,"134,143,119,149,151",,0.5203737630114987,,,0.5968312712076074,27-3043,Writers and Authors,27-3043.05,"Poets, Lyricists and Creative Writers",,,0.46221565715935575,,,0.4552596159314514,0.5119257841814807
41,135,Producer and/or Director,0.806343233436366,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2012,Producers and Directors,27-2012.00,Producers and Directors,187.0,Actors and Directors,0.5895770174678793,2710.0,Producers and directors,0.6693711967545637,0.7213955074646394
42,135,Producer and/or Director,0.806343233436366,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2012,Producers and Directors,27-2012.01,Producers,187.0,Actors and Directors,0.5895770174678793,,,0.4552596159314514,0.6785731913000169
43,136,Program Director,0.6641580432737536,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2012,Producers and Directors,27-2012.03,Program Directors,187.0,Actors and Directors,0.5895770174678793,,,0.4552596159314514,0.6359176342512332
44,137,Public Relations Specialist,0.5808359091519957,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3031,Public Relations Specialists,27-3031.00,Public Relations Specialists,197.0,Public Relations Specialists,0.443770752129349,2825.0,Public relations specialists,0.47667342799188644,0.5787521900921602
45,138,Radio Operator,0.4422792635398468,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,43-2099,"Communications Equipment Operators, All Other",27-4013.00,Radio Operators,228.0,Broadcast Equipment Operators,0.3760646744622491,,,0.4552596159314514,0.5159759145796535
46,139,Reporter and/or Correspondent,0.594543744120414,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3023,"News Analysts, Reporters, and Journalists",27-3022.00,Reporters and Correspondents,195.0,Editors and Reporters,0.6203262595640249,,,0.4552596159314514,0.6227206550292677
47,140,Sculptor,0.6069076736997715,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,188.0,"Painters, Sculptors, Craft-Artists, and Artist Printmake…",0.5139309946585824,,,0.4552596159314514,0.5998310176767143
48,141,Set and/or Exhibit Designer,0.5385028893965865,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1027,Set and Exhibit Designers,27-1027.00,Set and Exhibit Designers,185.0,Designers,0.429478850873394,,,0.4552596159314514,0.5581965464394617
49,142,Singer,0.722080365542266,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2042,Musicians and Singers,27-2042.01,Singers,186.0,Musicians and Composers,0.42991193879024114,,,0.4552596159314514,0.6133780612623774
50,143,Songwriter and/or Lyricist,0.6392957935761323,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,186.0,Musicians and Composers,0.42991193879024114,,,0.4552596159314514,0.5885426896725372
51,144,Sound Engineering Technician,0.6267974734578686,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-4014,Sound Engineering Technicians,27-4014.00,Sound Engineering Technicians,235.0,"Technicians, n.e.c.",0.3474808719503393,,,0.4552596159314514,0.5641854269270827
52,145,Talent Director,0.5883617793307352,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2012,Producers and Directors,27-2012.04,Talent Directors,187.0,Actors and Directors,0.5895770174678793,,,0.4552596159314514,0.6131787550683276
53,146,Technical Director and/or Manager,0.654213143394705,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2012,Producers and Directors,27-2012.05,Technical Directors/Managers,187.0,Actors and Directors,0.5895770174678793,,,0.4552596159314514,0.6329341642875186
54,147,Technical Writer,0.5261389598172289,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3042,Technical Writers,27-3042.00,Technical Writers,184.0,Technical Writers,0.5417929839757472,2840.0,Technical writers,0.6288032454361054,0.6172746267421735
